参照,値,数量,備考
U1,Raspberry Pi Pico 2 W,1,KiCad公式Pico W SMDフットプリントを使用して直接実装
U2-U5,秋月電子 AE-DRV8835-S,4,各相に1モジュールを使用し内部2ブリッジを並列接続
SOCKET-U2-U5,1x6 ピンソケット P2.54mm,8,DRV8835モジュール1個につき2本
R1-R8,10k ohm 0805,8,GPIOプルダウン
C1-C2,470uF 16V ラジアル P5.00mm,2,極性注意
C3-C4,0.1uF セラミック P2.50mm,2,各軸VMバイパス
J1-J2,1x2 ピンソケット P2.54mm,4,各軸2列でVM-GND列間5.08mm・1接点3A以上
J3-J4,1x4 ピンソケット P2.54mm,2,1接点3A以上
SJ1-SJ2,半田ジャンパ,2,通常開放・VM_X/VM_Y間0.5mm・共通化時は両方を半田ブリッジ
H1-H4,M3ねじ・スペーサー,4,基板穴径3.2mm
EXT-R-A-D,1.5 ohm 5W 抵抗,4,初回電流制限用の外付け抵抗・基板には実装しない
